iter	Passed	Remaining
0	129	77349
1	237	70939
2	336	66982
3	436	65013
4	552	65691
5	677	67061
6	746	63210
7	842	62363
8	944	62045
9	1052	62072
10	1128	60428
11	1217	59634
12	1306	58991
13	1425	59661
14	1539	60027
15	1586	57897
16	1639	56232
17	1691	54678
18	1742	53270
19	1794	52051
20	1847	50926
21	1878	49365
22	1928	48383
23	1967	47209
24	2038	46887
25	2070	45714
26	2117	44932
27	2164	44208
28	2216	43649
29	2270	43147
30	2319	42583
31	2373	42133
32	2423	41634
33	2473	41182
34	2522	40723
35	2572	40310
36	2624	39939
37	2675	39568
38	2729	39264
39	2764	38699
40	2813	38362
41	2862	38033
42	2912	37721
43	2962	37431
44	3007	37087
45	3051	36754
46	3100	36486
47	3129	35992
48	3181	35776
49	3230	35540
50	3284	35359
51	3335	35148
52	3383	34920
53	3429	34674
54	3477	34462
55	3529	34284
56	3578	34093
57	3622	33855
58	3672	33677
59	3725	33528
60	3776	33373
61	3827	33212
62	3876	33039
63	3924	32867
64	3973	32708
65	4022	32543
66	4095	32583
67	4143	32416
68	4196	32295
69	4249	32177
70	4299	32033
71	4352	31920
72	4401	31771
73	4449	31629
74	4499	31498
75	4549	31368
76	4602	31261
77	4653	31142
78	4703	31018
79	4753	30897
80	4806	30796
81	4856	30680
82	4907	30568
83	4955	30438
84	5006	30336
85	5057	30226
86	5126	30226
87	5177	30121
88	5227	30014
89	5274	29887
90	5321	29765
91	5370	29652
92	5419	29543
93	5468	29437
94	5516	29326
95	5567	29227
96	5617	29131
97	5645	28921
98	5696	28830
99	5746	28734
100	5794	28628
101	5842	28525
102	5892	28433
103	5942	28342
104	5991	28247
105	6041	28153
106	6090	28061
107	6161	28071
108	6216	28004
109	6248	27832
110	6297	27742
111	6347	27655
112	6398	27577
113	6448	27490
114	6497	27402
115	6547	27316
116	6602	27257
117	6651	27168
118	6699	27078
119	6748	26995
120	6798	26912
121	6847	26826
122	6896	26744
123	6947	26669
124	6998	26595
125	7048	26514
126	7099	26442
127	7160	26405
128	7221	26367
129	7273	26295
130	7324	26223
131	7374	26145
132	7426	26074
133	7474	25993
134	7523	25913
135	7572	25836
136	7625	25772
137	7653	25621
138	7701	25540
139	7749	25463
140	7799	25389
141	7850	25320
142	7900	25246
143	7964	25220
144	8045	25246
145	8096	25175
146	8150	25116
147	8219	25101
148	8271	25036
149	8323	24969
150	8374	24900
